CSO_LEA,p_age_12to17,p_age_18to54,p_age_55to64,p_age_65to70,p_age_71plus,p_male,p_female,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate,p_health_VeryBad,p_health_Bad,p_health_Fair,p_health_Good,p_health_VeryGood,Wt_accessibility_Initial_Vacc,accessibility_Pharmacy10,accessibility_10,Index22_rel,AGEDEP22,ED_LOW22,EDHIGH22,UNEMPM22,UNEMPF22,p_age_12to17_females,p_age_12to17_males,p_age_18to54_females,p_age_18to54_males,p_age_55to64_females,p_age_55to64_males,p_age_65to70_females,p_age_65to70_males,p_age_71plus_females,p_age_71plus_males
CASHEL-TIPPERARY,0.107607001,0.514338936,0.156385375,0.12476174,0.096906949,0.494974874,0.505025126,0.049619671,0.146824695,0.387581815,0.132053777,0.174951353,0.108968689,0.003499531,0.017245111,0.103651057,0.33007432,0.545529981,0.186250972,22.92379328,8.819624566,-3.070077593,37.68399382,12.03272294,31.68273919,8.33557047,8.219623132,0.052200658,0.055406342,0.261566453,0.252772483,0.076546526,0.079838849,0.061427829,0.063333911,0.05328366,0.043623289
CASTLEBAR,0.103808929,0.513307836,0.16109897,0.129995317,0.091788948,0.487784889,0.512215111,0.044778444,0.123354879,0.331905615,0.127949537,0.214547154,0.157464372,0.002709938,0.016094385,0.094847814,0.328299018,0.558048845,4.013550926,26.50446334,9.698675481,0.096616519,37.22256858,10.66541521,39.56429383,8.866873065,6.833241303,0.051592257,0.052216672,0.263034655,0.250273181,0.082578832,0.078520137,0.064978145,0.065017171,0.050031221,0.041757727
CASTLECOMER,0.11237727,0.507198453,0.163249733,0.124027064,0.093147479,0.503891743,0.496108257,0.047915567,0.153562005,0.324960422,0.133192612,0.207598945,0.132770449,0.003514203,0.013429277,0.087394888,0.312973267,0.582688365,2.077147939,16.7109943,8.462825043,-0.829675817,37.42508949,11.86451212,34.07085146,6.990378833,6.602345819,0.052652999,0.059724271,0.25593936,0.251259093,0.080276746,0.082972987,0.05845246,0.065574604,0.048786692,0.044360788
CASTLEISLAND,0.107682793,0.501305662,0.160940077,0.137575591,0.092495877,0.494365036,0.505634964,0.04934257,0.169659268,0.336349498,0.145624205,0.18535275,0.113671709,0.003205862,0.011506755,0.089592398,0.32768491,0.568010076,0.575108798,19.23953605,6.783228992,-2.68720749,37.7918261,13.04091598,31.87405287,7.39414367,8.842849924,0.056899395,0.050783397,0.251030786,0.250274876,0.080195162,0.080744915,0.06768829,0.069887301,0.04982133,0.042674546
CASTLEKNOCK,0.102601745,0.588396814,0.131147541,0.111845146,0.066008754,0.485686322,0.514313678,0.025181898,0.070333867,0.257701636,0.09081996,0.276949275,0.279013365,0.002429775,0.01208075,0.0738697,0.299407317,0.612212458,0.38236319,35.71370527,16.11031337,5.478019792,34.57761564,6.541791836,56.15479767,7.384131972,7.363956322,0.050621211,0.051980534,0.296658783,0.291738031,0.07035859,0.060788951,0.059946171,0.051898975,0.036728924,0.02927983
CAVAN-BELTURBET,0.109843743,0.541011731,0.145314601,0.11814346,0.085686465,0.493949089,0.506050911,0.068925683,0.154793993,0.294570658,0.175683481,0.180785522,0.125240662,0.004211909,0.015688396,0.105220449,0.325244407,0.549634839,1.580723156,20.99446815,7.351558609,-5.087773898,37.33963293,14.0194245,34.41515353,11.74625802,11.95962994,0.054713219,0.055130523,0.272963324,0.268048407,0.072750035,0.072564566,0.059025363,0.059118097,0.046598971,0.039087495
CELBRIDGE,0.117036285,0.580046273,0.153828791,0.103662322,0.04542633,0.493030867,0.506969133,0.029726516,0.068100746,0.286239325,0.117717004,0.269592476,0.228623933,0.002188882,0.010123581,0.07793333,0.312690957,0.59706325,0.117083214,12.05444608,5.33825121,6.231365753,32.50286117,6.461055187,50.73177697,5.84131105,6.438631791,0.057558829,0.059477456,0.29230856,0.287737712,0.079115174,0.074713617,0.052480108,0.051182213,0.025506461,0.019919869
CLANE,0.126601231,0.577274996,0.143154217,0.094243886,0.05872567,0.493428714,0.506571286,0.044721345,0.129470001,0.330886746,0.135188188,0.205428011,0.15430571,0.002867456,0.013156563,0.083797187,0.316938232,0.583240563,0.218043778,4.816686658,6.18734546,0.501881737,34.06280038,10.69706499,37.86687631,6.56577693,7.928825623,0.062177674,0.064423557,0.298078523,0.279196473,0.070329396,0.072824821,0.046248544,0.047995342,0.029737149,0.028988521
CLAREMORRIS,0.106487619,0.510156952,0.1516914,0.126673224,0.104990805,0.495359877,0.504640123,0.04870185,0.144493467,0.370609197,0.12922111,0.180807738,0.126166638,0.003477505,0.014018692,0.100086938,0.346627545,0.535789321,0.216880998,22.77026565,10.05850484,-1.802086672,38.50218162,12.56969362,34.4134695,7.529134477,8.16064257,0.05191806,0.054569559,0.255655818,0.254501133,0.075054527,0.076636873,0.063764273,0.062908951,0.058247445,0.046743361
CLONDALKIN,0.111828815,0.610993341,0.124872185,0.094221513,0.058084146,0.488739806,0.511260194,0.04345301,0.136430834,0.354276663,0.159662091,0.174868004,0.131309398,0.004170001,0.016658944,0.097405333,0.334358283,0.547407439,2.728928662,38.84498805,18.35220595,-2.955325919,34.65146186,11.32683932,34.10685196,8.846939494,9.338365184,0.052821907,0.059006908,0.311644263,0.299349078,0.06516697,0.059705215,0.048881462,0.04534005,0.032745592,0.025338554
