CSO_LEA,p_age_12to17,p_age_18to54,p_age_55to64,p_age_65to70,p_age_71plus,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate,p_health_VeryBad,p_health_Bad,p_health_Fair,p_health_Good,p_health_VeryGood
ENNISTIMON,0.0963830661734484,0.489176599534183,0.172763392245513,0.14063570352103,0.101041238525825,0.0351216814159292,0.12818030973451328,0.32577433628318586,0.12555309734513273,0.20754977876106195,0.17782079646017698,0.00364497904137051,0.01324342385031286,0.0973816900552822,0.348702994957779,0.5370269120952554
FERMOY,0.118237190970978,0.539982410996384,0.141005178984398,0.112927917657405,0.0878473013908342,0.04086811352253756,0.13843071786310518,0.3375626043405676,0.14898163606010018,0.1983973288814691,0.13575959933222037,0.00312608544633553,0.01309215272396932,0.08568680364442782,0.3224944558741016,0.5756005023111658
FIRHOUSE-BOHERNABREENA,0.117880242019612,0.586897558940121,0.143473120522985,0.10042422977954,0.0513248487377425,0.0211230648123852,0.07065074783521386,0.2871293623720808,0.10823930726843348,0.27899501443190766,0.233862503279979,0.00237247924080664,0.01097961323070981,0.06979502882838147,0.28298711688598305,0.633865761814119
GALWAY CITY CENTRAL,0.0544619126987702,0.641109959908104,0.117212487048966,0.106130906797603,0.0810847335465562,0.03572410002748007,0.09306586058440965,0.2296418429971604,0.10488229367042227,0.28093798662636255,0.2557479160941651,0.00310608474036317,0.01760114686205798,0.1051688435807582,0.351306148454922,0.5228177763618987
GALWAY CITY EAST,0.0952227094391876,0.651096238172167,0.113501038541426,0.0771290099238403,0.0630510039233787,0.03421592392317733,0.08148424389334327,0.28426253962334513,0.13975386910311394,0.2527503263099012,0.20753309714711915,0.00434228348338777,0.01681140944944626,0.10333837941199904,0.3556688710062943,0.5198390566488726
GALWAY CITY WEST,0.0994309962387887,0.595910888224515,0.134390973092873,0.093258752049378,0.077008390394445,0.01631459826480573,0.03875895888344021,0.2142587702753678,0.09326669181440966,0.28923047906450394,0.34817050169747266,0.00288430289242768,0.01409652258693532,0.08027299317517061,0.3040705232369191,0.5986756581085473
GLENCULLEN-SANDYFORD,0.0973420871498915,0.635993011065813,0.114470270556467,0.0821729231746704,0.0700217080531583,0.01383587786259542,0.04747137404580152,0.20610687022900764,0.08067748091603054,0.314837786259542,0.3370706106870229,0.00201911717323595,0.00977338631725915,0.06437546987434217,0.282654924283106,0.6411771023520567
GLENTIES,0.0971538832609744,0.444042450554752,0.179160636758321,0.148721659430777,0.130921369995176,0.06744784224064018,0.24521291797656472,0.295417738401448,0.11488996856244642,0.1559493188530056,0.121082213965895,0.00575460998865879,0.01995211492418196,0.1340782122905028,0.31935985214432727,0.5208552106523291
GOREY,0.12114219786559,0.550166879558284,0.143063167003173,0.107503399398409,0.0781243561745437,0.04996712689020381,0.1333826429980276,0.3433596318211703,0.15154503616042078,0.19017094017094016,0.13157462195923733,0.00368509212730318,0.01658291457286432,0.09671691792294808,0.31333333333333335,0.569681742043551
GORT-KINVARA,0.122987765614939,0.547179156966665,0.150725642676705,0.105205805141414,0.0739016296002774,0.03256613503963327,0.09674338649603668,0.2643491548085188,0.1075350969343902,0.252888931334161,0.2459172953872601,0.00259698100957636,0.00900827787696802,0.07701671806524915,0.3006411296867392,0.6107368933614673
GRAIGUECULLEN-PORTARLINGTON,0.132041441214714,0.568558365840359,0.14001090558282,0.0953819051214295,0.0640073822406778,0.04476040021063718,0.1206775495875022,0.33930138669475163,0.14920133403545727,0.2050201860628401,0.14103914340881166,0.00304752773592658,0.01438159156279961,0.08810436926448431,0.3149910971099849,0.5794754143268045
