CSO_LEA,Census Year,No_formal_education,Primary_edu,Upper_secondary_edu,Advanced_cert_or_apprenticeship,Honours_bachelor,Postgraduate,population,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate
GORT-KINVARA,2022,341,1013,2768,1126,2648,2575,10471,0.03256613503963327,0.09674338649603667,0.2643491548085188,0.10753509693439021,0.252888931334161,0.24591729538726007
GRAIGUECULLEN-PORTARLINGTON,2022,510,1375,3866,1700,2336,1607,11394,0.04476040021063718,0.1206775495875022,0.33930138669475163,0.14920133403545727,0.2050201860628401,0.14103914340881166
GRANARD,2022,283,781,1510,675,715,464,4428,0.06391147244805781,0.17637759710930442,0.34101174345076785,0.1524390243902439,0.1614724480578139,0.10478771454381211
GREYSTONES,2022,230,777,2984,1321,3632,3499,12443,0.018484288354898338,0.06244474805111307,0.23981354978702885,0.10616410833400305,0.2918910230651772,0.28120228240777945
HOWTH-MALAHIDE,2022,503,1914,8225,2772,8425,8013,29852,0.016849792308723032,0.06411630711510116,0.27552592791102776,0.09285809995980168,0.28222564652284604,0.26842422618250034
Ireland,2022,81280,251219,613478,253892,450523,379416,2029808,0.04004319620377888,0.12376490781394102,0.3022344970558792,0.12508178113397916,0.22195350496204566,0.18692211283037607
KANTURK,2022,549,1686,3512,1577,1867,1114,10305,0.05327510917030567,0.1636098981077147,0.3408054342552159,0.1530325084910238,0.18117418728772441,0.10810286268801553
KELLS,2022,701,1948,4734,1887,2444,1681,13395,0.05233296005972378,0.1454273982829414,0.3534154535274356,0.14087346024636058,0.1824561403508772,0.12549458753266143
KENMARE,2022,532,1668,3544,1552,2060,1599,10955,0.04856230031948882,0.152259242355089,0.32350524874486536,0.1416704701049749,0.18804198995892288,0.14596074851665905
KILDARE,2022,548,1500,3912,1544,1996,1466,10966,0.04997264271384279,0.13678643078606603,0.3567390114900602,0.14079883275579064,0.1820171438993252,0.13368593835491518
KILKENNY,2022,452,1239,3544,1541,2898,2275,11949,0.03782743325801322,0.10369068541300527,0.29659385722654613,0.1289647669261026,0.24253075571177504,0.19039250146455772
KILLALOE,2022,265,907,2576,1061,1977,1602,8388,0.0315927515498331,0.1081306628516929,0.307105388650453,0.12649022412970912,0.23569384835479257,0.19098712446351931
KILLARNEY,2022,437,1464,3983,1811,2562,1815,12072,0.03619946984758118,0.12127236580516898,0.32993704440026506,0.15001656726308812,0.21222664015904572,0.15034791252485089
KILLINEY-SHANKILL,2022,458,1698,4628,1710,4516,4432,17442,0.026258456599013876,0.09735122119023047,0.2653365439743149,0.09803921568627451,0.25891526201123727,0.25409930053892904
KILMUCKRIDGE,2022,402,1101,2531,1042,1382,823,7281,0.055212196126905644,0.15121549237742068,0.3476170855651696,0.14311220986128279,0.18980909215767064,0.11303392391155061
KILRUSH,2022,444,1561,3222,1329,1532,1043,9131,0.048625561274778226,0.17095608367101084,0.3528638703318366,0.14554813273464023,0.16778008980396453,0.11422626218376958
KIMMAGE-RATHMINES,2022,830,2892,5066,2025,8060,8932,27805,0.029850746268656716,0.10401007013127135,0.1821974465024276,0.07282862794461428,0.2898759215968351,0.3212371875561949
KINNEGAD,2022,462,1200,3015,1282,1570,1053,8582,0.053833605220228384,0.13982754602656725,0.3513167093917502,0.14938242833838267,0.1829410393847588,0.12269867163831275
LAYTOWN-BETTYSTOWN,2022,521,1710,4875,2011,3238,2546,14901,0.034964096369371186,0.11475739883229313,0.327159251056976,0.13495738541037514,0.2173008522917925,0.170861016039192
LEIXLIP,2022,150,580,2003,806,1891,1511,6941,0.021610718916582623,0.08356144647745281,0.28857513326609996,0.11612159631177064,0.27243912980838497,0.21769197521970898
LETTERKENNY,2022,591,1714,3656,1387,2803,2307,12458,0.04743939637180928,0.1375822764488682,0.29346604591427194,0.11133408251725799,0.22499598651468936,0.18518221223310322
