"CSO_LEA","Census Year","p_age_12to17","p_age_18to54","p_age_55to64","p_age_65to70","p_age_71plus","Population"
"CAHIR",2022,0.11071984276472,0.512734419785439,0.156907706166571,0.127999344853001,0.0916386864302678,12211
"CALLAN-THOMASTOWN",2022,0.118676677616143,0.503003284842797,0.16316283435007,0.123510089160019,0.0916471140309714,21310
"CAPPAMORE-KILMALLOCK",2022,0.118948161336712,0.508594124494967,0.146750667671027,0.131856467849072,0.093850578648223,29206
"CARLOW",2022,0.106129543479372,0.585041664536578,0.132559685087674,0.0984101017330402,0.0778590051633352,19561
"CARNDONAGH",2022,0.126100129851392,0.485283508873178,0.148391285528784,0.139013129418554,0.101211946328091,13862
"CARRICK-ON-SHANNON",2022,0.107117617364967,0.526299848561333,0.142655224634023,0.128319030792529,0.0956082786471479,9905
"CARRICK-ON-SUIR",2022,0.113040243070627,0.493024121039251,0.167979165374837,0.128170149438829,0.0977863210764556,16127
"CARRICKMACROSS-CASTLEBLAYNEY",2022,0.119529827272226,0.549528171734452,0.137078527675073,0.109044754704487,0.084818718613763,18121
"CARRIGALINE",2022,0.123528633778601,0.566161883348763,0.148293876471366,0.100052903055151,0.0619627033461182,30244
"CASHEL-TIPPERARY",2022,0.107607000519841,0.514338936059608,0.15638537515162,0.124761739733148,0.0969069485357824,23084
"CASTLEBAR",2022,0.103808929128942,0.513307836403372,0.161098969715891,0.129995316890415,0.09178894786138,25624
"CASTLECOMER",2022,0.11237727018365,0.507198453477133,0.163249732919571,0.124027064150176,0.0931474792694714,19657
"CASTLEISLAND",2022,0.107682792743266,0.501305662451897,0.160940076965366,0.137575590984057,0.0924958768554151,14552
"CASTLEKNOCK",2022,0.102601745371503,0.58839681374548,0.131147540983607,0.111845145855422,0.0660087540439877,36783
"CAVAN-BELTURBET",2022,0.109843742755135,0.541011730885149,0.145314601010804,0.118143459915612,0.0856864654333009,21567
"CELBRIDGE",2022,0.11703628463405,0.580046272783703,0.153828790700299,0.103662321539417,0.0454263303425315,17721
"CLANE",2022,0.12660123107636,0.577274995840958,0.143154217268341,0.0942438862086175,0.0587256696057228,24044
"CLAREMORRIS",2022,0.106487619210538,0.510156951631527,0.15169139973485,0.126673224137194,0.104990805285891,23383
"CLONDALKIN",2022,0.111828815123326,0.610993341147717,0.124872184951493,0.0942215128313839,0.0580841459460808,40097
"CLONMEL",2022,0.106006541778174,0.520566954108435,0.156457528000793,0.12359996035286,0.0933690157597383,20178
"CLONTARF",2022,0.077191680670435,0.553261604940966,0.151655354531765,0.114859998690557,0.103031361166277,45821
"COBH",2022,0.123913799096281,0.580743830378867,0.133611400764685,0.0962113312478276,0.0655196385123392,28770
"CONAMARA NORTH",2022,0.104132901134522,0.457725553754727,0.170380875202593,0.161669367909238,0.10609130199892,14808
