Statistic Label,Census Year,Sex,General Health,CSO Local Electoral Areas 2022,UNIT,VALUE
General Health of Population,2022,Males,Fair,"Tullow, Carlow",Number,916
General Health of Population,2022,Males,Fair,"Muinebeag, Carlow",Number,783
General Health of Population,2022,Males,Fair,"Manorhamilton, Leitrim",Number,605
General Health of Population,2022,Males,Fair,"Ballinamore, Leitrim",Number,557
General Health of Population,2022,Males,Fair,"Carrick-On-Shannon, Leitrim",Number,661
General Health of Population,2022,Males,Fair,"Newcastle West, Limerick",Number,1360
General Health of Population,2022,Males,Fair,"Adare-Rathkeale, Limerick",Number,1235
General Health of Population,2022,Males,Fair,"Cappamore-Kilmallock, Limerick",Number,1729
General Health of Population,2022,Males,Fair,"Limerick City West, Limerick",Number,1543
General Health of Population,2022,Males,Fair,"Limerick City North, Limerick",Number,1791
General Health of Population,2022,Males,Fair,"Limerick City East, Limerick",Number,1571
General Health of Population,2022,Males,Fair,"Granard, Longford",Number,542
General Health of Population,2022,Males,Fair,"Ballymahon, Longford",Number,799
General Health of Population,2022,Males,Fair,"Longford, Longford",Number,896
General Health of Population,2022,Males,Fair,"Dundalk-Carlingford, Louth",Number,1255
General Health of Population,2022,Males,Fair,"Dundalk South, Louth",Number,1667
General Health of Population,2022,Males,Fair,"Ardee, Louth",Number,1200
General Health of Population,2022,Males,Fair,"Drogheda Rural, Louth",Number,777
General Health of Population,2022,Males,Fair,"Drogheda Urban, Louth",Number,1486
General Health of Population,2022,Males,Fair,"Ballina, Mayo",Number,1393
General Health of Population,2022,Males,Fair,"Claremorris, Mayo",Number,1347
General Health of Population,2022,Males,Fair,"Castlebar, Mayo",Number,1390
General Health of Population,2022,Males,Fair,"Belmullet, Mayo",Number,893
General Health of Population,2022,Males,Fair,"Westport, Mayo",Number,821
General Health of Population,2022,Males,Fair,"Swinford, Mayo",Number,1047
General Health of Population,2022,Males,Fair,"Kells, Meath",Number,1531
General Health of Population,2022,Males,Fair,"Laytown-Bettystown, Meath",Number,1466
General Health of Population,2022,Males,Fair,"Ashbourne, Meath",Number,1142
General Health of Population,2022,Males,Fair,"Ratoath, Meath",Number,1174
General Health of Population,2022,Males,Fair,"Trim, Meath",Number,1282
