"Statistic Label","Census Year","CSO Local Electoral Areas 2022","Sex","Highest Level of Education Completed","UNIT","VALUE"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Both Sexes","Technical or vocational qualification","Number","975"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Both Sexes","Advanced certificate/Completed apprenticeship","Number","792"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Both Sexes","Higher certificate","Number","739"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Both Sexes","Ordinary bachelor degree or national diploma","Number","757"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Both Sexes","Honours bachelor degree, professional qualification or both","Number","1259"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Both Sexes","Postgraduate diploma or degree","Number","856"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Both Sexes","Doctorate(Ph.D) or higher","Number","62"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Both Sexes","Not stated","Number","351"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Both Sexes","Total","Number","11256"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Males","No formal education","Number","183"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Males","Primary education","Number","387"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Males","Lower secondary","Number","711"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Males","Upper secondary","Number","692"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Males","Technical or vocational qualification","Number","282"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Males","Advanced certificate/Completed apprenticeship","Number","335"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Males","Higher certificate","Number","206"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Males","Ordinary bachelor degree or national diploma","Number","295"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Males","Honours bachelor degree, professional qualification or both","Number","386"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Males","Postgraduate diploma or degree","Number","249"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Males","Doctorate(Ph.D) or higher","Number","28"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Males","Not stated","Number","192"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Males","Total","Number","3946"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Females","No formal education","Number","119"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Females","Primary education","Number","262"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Females","Lower secondary","Number","481"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Females","Upper secondary","Number","694"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Females","Technical or vocational qualification","Number","371"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Females","Advanced certificate/Completed apprenticeship","Number","156"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Females","Higher certificate","Number","301"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Females","Ordinary bachelor degree or national diploma","Number","395"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Females","Honours bachelor degree, professional qualification or both","Number","524"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Females","Postgraduate diploma or degree","Number","478"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Females","Doctorate(Ph.D) or higher","Number","47"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Females","Not stated","Number","169"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Females","Total","Number","3997"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Both Sexes","No formal education","Number","302"
"Population aged 15 years and over by sex and highest level of education completed","2022","Manorhamilton, Leitrim","Both Sexes","Primary education","Number","649"
