"Statistic Label","Census Year","CSO Local Electoral Areas 2022","Sex","Highest Level of Education Completed","UNIT","VALUE"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Both Sexes","Doctorate(Ph.D) or higher","Number","67"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Both Sexes","Not stated","Number","927"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Both Sexes","Total","Number","13346"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Males","No formal education","Number","129"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Males","Primary education","Number","705"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Males","Lower secondary","Number","1215"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Males","Upper secondary","Number","985"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Males","Technical or vocational qualification","Number","421"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Males","Advanced certificate/Completed apprenticeship","Number","589"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Males","Higher certificate","Number","296"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Males","Ordinary bachelor degree or national diploma","Number","318"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Males","Honours bachelor degree, professional qualification or both","Number","513"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Males","Postgraduate diploma or degree","Number","296"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Males","Doctorate(Ph.D) or higher","Number","29"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Males","Not stated","Number","161"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Males","Total","Number","5657"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Females","No formal education","Number","89"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Females","Primary education","Number","466"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Females","Lower secondary","Number","799"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Females","Upper secondary","Number","1077"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Females","Technical or vocational qualification","Number","554"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Females","Advanced certificate/Completed apprenticeship","Number","203"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Females","Higher certificate","Number","443"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Females","Ordinary bachelor degree or national diploma","Number","439"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Females","Honours bachelor degree, professional qualification or both","Number","746"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Females","Postgraduate diploma or degree","Number","560"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Females","Doctorate(Ph.D) or higher","Number","33"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Females","Not stated","Number","190"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Females","Total","Number","5599"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Both Sexes","No formal education","Number","218"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Both Sexes","Primary education","Number","1171"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Both Sexes","Lower secondary","Number","2014"
"Population aged 15 years and over by sex and highest level of education completed","2022","Muinebeag, Carlow","Both Sexes","Upper secondary","Number","2062"
