"CSO_LEA","p_age_12to17","p_age_18to54","p_age_55to64","p_age_65to70","p_age_71plus","p_edu_NoFormal","p_edu_Primary","p_edu_UpperSecondary","p_edu_Apprenticeship","p_edu_HonoursBachelor","p_edu_Postgraduate","p_health_VeryBad","p_health_Bad","p_health_Fair","p_health_Good","p_health_VeryGood","Wt_accessibility_Initial_Vacc","accessibility_Pharmacy10","accessibility_GP10","Primary_Vax_Rate"
"ENNIS",0.110209551,0.552201586,0.147504373,0.10522202,0.084862471,0.030291726,0.097366261,0.323509662,0.129448631,0.230843841,0.188539879,0.004122665,0.016839501,0.100878445,0.327529889,0.550629499,5.779125537,32.33555751,9.91953236691413,91.1
"ENNISCORTHY",0.10605279,0.531940504,0.154371937,0.118777405,0.088857364,0.066270252,0.180110307,0.345398139,0.149086522,0.160720441,0.09841434,0.004418639,0.017565001,0.109553024,0.325408998,0.543054338,3.294395966,23.78827073,6.44907902298168,91.5
"ENNISTIMON",0.096383066,0.4891766,0.172763392,0.140635704,0.101041239,0.035121681,0.12818031,0.325774336,0.125553097,0.207549779,0.177820796,0.003644979,0.013243424,0.09738169,0.348702995,0.537026912,0.86268237,5.230127145,7.19209456295234,90.3
"FERMOY",0.118237191,0.539982411,0.141005179,0.112927918,0.087847301,0.040868114,0.138430718,0.337562604,0.148981636,0.198397329,0.135759599,0.003126085,0.013092153,0.085686804,0.322494456,0.575600502,0.093851048,49.46012669,7.03878843781576,92
"FIRHOUSE-BOHERNABREENA",0.117880242,0.586897559,0.143473121,0.10042423,0.051324849,0.021123065,0.070650748,0.287129362,0.108239307,0.278995014,0.233862503,0.002372479,0.010979613,0.069795029,0.282987117,0.633865762,0.368055871,25.39837562,13.0254525350684,92.6
"GALWAY CITY CENTRAL",0.054461913,0.64110996,0.117212487,0.106130907,0.081084734,0.0357241,0.093065861,0.229641843,0.104882294,0.280937987,0.255747916,0.003106085,0.017601147,0.105168844,0.351306148,0.522817776,0.119915364,26.9693456,10.2323035660343,87.1
"GALWAY CITY EAST",0.095222709,0.651096238,0.113501039,0.07712901,0.063051004,0.034215924,0.081484244,0.28426254,0.139753869,0.252750326,0.207533097,0.004342283,0.016811409,0.103338379,0.355668871,0.519839057,0.865136674,19.62112101,7.19479546597367,85.6
"GALWAY CITY WEST",0.099430996,0.595910888,0.134390973,0.093258752,0.07700839,0.016314598,0.038758959,0.21425877,0.093266692,0.289230479,0.348170502,0.002884303,0.014096523,0.080272993,0.304070523,0.598675658,0.028229636,16.47507764,6.71654216866989,93.3
"GLENCULLEN-SANDYFORD",0.097342087,0.635993011,0.114470271,0.082172923,0.070021708,0.013835878,0.047471374,0.20610687,0.080677481,0.314837786,0.337070611,0.002019117,0.009773386,0.06437547,0.282654924,0.641177102,0.633578955,34.56882874,18.504095499624,88.2
"GLENTIES",0.097153883,0.444042451,0.179160637,0.148721659,0.13092137,0.067447842,0.245212918,0.295417738,0.114889969,0.155949319,0.121082214,0.00575461,0.019952115,0.134078212,0.319359852,0.520855211,0.092616126,29.50457152,9.87947476837075,94.1
"GOREY",0.121142198,0.55016688,0.143063167,0.107503399,0.078124356,0.049967127,0.133382643,0.343359632,0.151545036,0.19017094,0.131574622,0.003685092,0.016582915,0.096716918,0.313333333,0.569681742,3.905200469,30.71363525,4.31028742083013,87.5
"GORT-KINVARA",0.122987766,0.547179157,0.150725643,0.105205805,0.07390163,0.032566135,0.096743386,0.264349155,0.107535097,0.252888931,0.245917295,0.002596981,0.009008278,0.077016718,0.30064113,0.610736893,0.68992803,14.18460698,6.08802462980404,93.3
"GRAIGUECULLEN-PORTARLINGTON",0.132041441,0.568558366,0.140010906,0.095381905,0.064007382,0.0447604,0.12067755,0.339301387,0.149201334,0.205020186,0.141039143,0.003047528,0.014381592,0.088104369,0.314991097,0.579475414,2.167393406,22.16814637,7.74605473227653,91.1
"GRANARD",0.115054,0.510910293,0.151752259,0.129380648,0.092902799,0.063911472,0.176377597,0.341011743,0.152439024,0.161472448,0.104787715,0.003607103,0.015445801,0.099426563,0.314742878,0.566777654,0.63038622,5.051324592,2.72088281037054,92.5
"GREYSTONES",0.12310678,0.559633802,0.138379108,0.100535797,0.078344513,0.018484288,0.062444748,0.23981355,0.106164108,0.291891023,0.281202282,0.002816805,0.012160352,0.06890866,0.274260589,0.641853595,2.457584123,23.79229587,6.65352997707362,92.9
"HOWTH-MALAHIDE",0.102774998,0.541861523,0.140151033,0.112728596,0.10248385,0.016849792,0.064116307,0.275525928,0.0928581,0.282225647,0.268424226,0.002268191,0.010841952,0.073413779,0.292551261,0.620924817,1.321089788,62.37376312,25.0970478358613,93.3
"KANTURK",0.102138556,0.505097444,0.154677794,0.138223719,0.099862488,0.053275109,0.163609898,0.340805434,0.153032508,0.181174187,0.108102863,0.003454574,0.013977128,0.091367535,0.328502224,0.562698539,0.035325043,30.26225801,8.90276970839203,94.9
"KELLS",0.115637951,0.523201599,0.160820012,0.115563943,0.084776495,0.05233296,0.145427398,0.353415454,0.14087346,0.18245614,0.125494588,0.003209262,0.013766834,0.09108905,0.318166822,0.573768033,1.549370166,19.1912729,7.8387064251116,92.4
"KENMARE",0.098254744,0.474494145,0.167481717,0.151240522,0.108528871,0.0485623,0.152259242,0.323505249,0.14167047,0.18804199,0.145960749,0.002822129,0.012834886,0.096648239,0.335137434,0.552557312,0.033608605,8.646350415,8.27440719145696,92.6
"KILDARE",0.121731564,0.600826626,0.12281923,0.092277572,0.062345008,0.049972643,0.136786431,0.356739011,0.140798833,0.182017144,0.133685938,0.003832104,0.013788411,0.09100351,0.318888332,0.572487644,0.301145719,29.77566201,5.62072357830085,88.7
"KILKENNY",0.102125868,0.555588297,0.14771627,0.11075563,0.083813934,0.037827433,0.103690685,0.296593857,0.128964767,0.242530756,0.190392501,0.003732816,0.016366965,0.096945551,0.324683249,0.558271419,1.193390754,32.59148451,3.66566734865797,90.3
"KILLALOE",0.125556952,0.510682052,0.165543242,0.116302982,0.081914772,0.031592752,0.108130663,0.307105389,0.126490224,0.235693848,0.190987124,0.003007971,0.011931619,0.082217877,0.309470096,0.593372437,1.074895201,12.12042048,5.12246282895177,91
"KILLARNEY",0.104575426,0.546759408,0.15020907,0.113179479,0.085276616,0.03619947,0.121272366,0.329937044,0.150016567,0.21222664,0.150347913,0.002834893,0.011954368,0.084841861,0.331784958,0.56858392,0.039664454,25.2338687,7.95591825988521,84.3
"KILLINEY-SHANKILL",0.09889062,0.530563591,0.151149115,0.11554722,0.103849455,0.026258457,0.097351221,0.265336544,0.098039216,0.258915262,0.254099301,0.00356966,0.013366685,0.084499336,0.304671826,0.593892493,0.411235616,44.34335758,15.7492144526293,96.8
"KILMUCKRIDGE",0.117735953,0.513806842,0.169116637,0.119521912,0.079818656,0.055212196,0.151215492,0.347617086,0.14311221,0.189809092,0.113033924,0.003294519,0.01499574,0.098040329,0.313717694,0.569951718,0.872504335,6.10233722,3.47234013863517,94.5
